id_code,diagnosis
b2b79b37d314,0
175dd560810a,2
c3cd0200df79,3
cfed7c1172ec,0
e811f39a1243,2
b085caa513a8,0
b22354b5f94b,1
94f9ecf4b8d2,0
d85a842d20bd,2
66375b3c64db,4
f999c6921e6d,2
52ae917fcea4,1
b99c825b93c5,2
a76b69e443ce,4
92fcf50b3562,0
38055d8b9f08,3
a419fcb2dfb5,0
f85fd4fac887,0
9de9421f17e3,0
b50b30aa6e6c,1
c26f98f58350,0
dccdf750c962,0
7d94a000c2d0,0
aad0c0ee9268,2
28824d12d31d,2
4478b870e549,2
239f2c348ea4,2
2fefb720869a,0
ace287a5c991,0
76095c338728,0
04d029cfb612,2
74418f620068,2
7e4019ac7f5a,4
62cc7ddb53b6,2
e3ec668f6fad,4
1fd5d860d4d7,4
f6f3ea0d2693,4
576e189d23d4,4
d2c6b99ef62c,2
a247961a5cd9,0
d6e26fe51dce,1
4bd5d0b30198,0
0684311afdfc,1
d66ccb75ada1,1
8acdf12f412a,0
f3bb996b45ce,0
2923971566fe,0
fea14b3d44b0,1
d16e59a2b33a,0
fa7fa797c650,0
999115d9386b,2
000c1434d8d7,2
bdc6c60e9133,0
55968f0e63c4,0
4409965eb2a4,0
26e231747848,2
675de69373f8,0
b7e0f95353f2,3
404ede327e98,0
4f6abc40c72d,0
a9a28c37c8c4,2
0b3efe669365,0
33b893e18eb3,1
d93b61dc8f64,0
a06a63d866b2,0
8ef2eb8c51c4,1
f3a4751af42e,0
f00ce9b9d6f4,0
e580676516b0,1
0ac436400db4,2
a56729de89e9,2
8273fdb4405e,1
51a1d162e223,4
f26b02ead915,0
7a9f45fdf29b,0
ef247f28004f,0
44976c3b11a6,0
85fce24084da,2
96c3e3db68bc,2
89b725411cee,2
a8c54e2a4b79,1
ed246ae1ed08,4
4ad6109706e8,2
0519b934f6b1,2
5b5b80a3edee,4
ffec9a18a3ce,2
9cc6b1f9bcbd,4
f7116e7b2f4e,0
0a85a1e8f9e9,0
03b373718013,0
4e7694eebb91,2
d9a475dfe59a,2
891329021e12,0
1ee1eb7943db,2
d3e884109b45,3
1f3f32efaf20,0
0fffa73e2402,2
686ed1dbae20,2
1844a039b4ea,2
26d9576e8043,0
070f67572d03,3
1c5e6cdc7ee1,2
0083ee8054ee,4
847b04287c9c,0
ba2ea9182090,0
f002ce614c59,0
8ead17dfb6a6,0
6b07971c3bf6,1
2994f17f58a5,1
9be0683649ff,0
803120c5d287,2
cbc2e57447c2,2
ac0a48ccbf70,0
504a69096fcb,0
681c3c115684,2
d69698f838db,0
cc671a73e1cb,0
2ef955d6d9ff,0
d2c2f02bb313,4
ad570b850a4f,2
b70e7c26f51e,0
f48241b0c995,0
4d9fc85a8259,3
6324d77cf926,0
e82232a3c28b,0
83df53d58f28,0
46d3316c4857,4
530d78467615,2
b94c58d063bf,1
757e39293591,0
86410aa13b3e,0
13d014ccd136,0
df9cb3729eb1,0
beeca5f14618,0
fce73678f650,0
a86128b601a7,0
878e356c8fc9,0
0bf37ca3156a,4
57469423a012,2
511fd66b2df8,0
d0926ed2c8e5,0
93802d1e3c41,0
f366fb1cc475,0
0e75d51152fc,2
a987aa7aac37,0
9e99ae6ee7af,0
58a9e0d7f7af,0
d6228d951958,2
840527bc6628,2
5a93c0f783c4,0
498f143c0374,3
9a1029536d78,0
10bf25731c08,0
18b7e34eab8f,0
5ed6dc419e4d,2
cffc50047828,0
a88f68b0b114,2
1e9224ccca95,4
76e589911303,1
30db694bee42,0
0fc6829da85b,0
f18abfa690ab,2
df5ce3ea7820,2
0d0b8fc9ab5c,0
f0098e9d4aee,4
8c87bd748996,2
6c30dd481717,0
6f4719c6bb4b,4
b3c0c3330278,2
4528fbbd43a3,0
ca25745942b0,1
fed5bb685832,0
726dff37edc0,0
07a1c7073982,1
b187b3c93afb,2
bec0acd539b2,3
b7278b4f2448,1
dd285d9e97fe,0
ae20112e7a1e,0
b9c7c5182075,0
9ac2e3e9fca5,0
fc898dfeb24f,0
45c39ab9e797,2
2bbd1f99ecc3,3
fa9f1bc03f21,0
9d1feed37610,0
a47432cd41e7,1
9c5dd3612f0c,2
42985aa2e32f,0
96b5474ae604,0
1ab8d3431ffc,0
28f98cfe3858,1
3ddb86eb530e,2
dea7538bb91a,0
e135d7ba9a0e,0
a15652b22ab8,2
ca9c912ebad7,2
2f9b66784109,2
2d04cead4d3a,0
2ef4a04aed1b,0
10de500cf0c5,0
4ce74e5eb51d,2
bd269a1f0e4d,1
ce207b69ff37,3
974c7d7b9c64,0
e0d229db881a,0
393fa5a023a5,0
46923eea9a4e,2
3b4a5fcbe5e0,4
83d81ba5959c,0
3dfc50108072,2
999ad827ed35,0
71e4130bf5c8,2
c027e5482e8c,1
1df0431bfa73,0
b7bd4a6627b6,0
38f1901f214a,0
60aa4e649abf,0
5ead17e894ae,0
436e1793d240,2
8ffa608170d3,0
1177d583c807,2
529906ff9dfa,0
1c5ad36fb799,2
5b72ff04333d,1
930fee99213a,0
281d7b7c7676,4
6e092caa065f,0
4d1e7def7624,0
578109578b46,1
913490237ad4,3
ea05c22d92e9,2
dbee04ae6426,2
76bc31e0d3be,0
eabf421f94d0,0
ae2c3f6312ef,0
582115961a3d,1
a9c7b83caf81,2
5d5b5da5f939,0
fcc32dffd24d,0
5445255635f0,0
36e4b704b905,0
b835b6e31a59,0
ee78ce914066,1
86d6808f0609,3
6966abf40b8c,0
7b691d9ced34,0
da0a1043abf7,2
0151781fe50b,0
917f76f360b6,2
b576c5269ad1,1
486e852a3b4d,0
fdd534271f3d,4
3f73c91b7e32,1
bc92a61a1f9c,0
08b6e3240858,0
3b0190bbe615,0
ac2c814949f9,2
6fb656d506b2,3
cf8ae5501bd6,0
2bb063318cf1,3
bf7b4eae7ad0,0
3c726de3ee90,1
668a319c2d23,0
838b3e4d0bb4,0
f4ea2a2cfbb9,0
8f14bca04b47,0
a673193cd5a9,0
916915f01e17,0
594f69b503ad,2
08a3875063c3,4
c23ff6dcf15e,0
d2fb715b0c41,0
3c326543fff6,0
0f364b7d4384,0
00f6c1be5a33,0
7247a2c97f71,2
13ab8db8c700,1
54334705a34d,0
0709652336e2,0
0953c0ac1735,2
810d3779abd9,3
54f57cf26126,0
fe06dad6851c,0
401fdfd0db07,0
98e8adcf085c,2
a1b12fdce6c3,2
72606afaf3da,0
c6a2975228af,2
f994a3b07935,0
7eeb191ad06b,0
941d874c8afb,0
891392c9683c,2
5a091e8cd95c,1
b11dcdcbc8c8,0
d4bc001f7224,0
f1d719c97838,0
53327edb9e4d,0
3aa2b1ce6700,2
cd4e7f9fa1a9,2
98277aeb96a7,0
3908b3cfd620,0
cad5b1a82e60,0
180afe1d5ef7,2
5eb8fb1aad41,0
613bacb35c05,1
bf9cba745efc,2
fb767cea406c,0
cca626a0e19a,2
65cf00be6fb4,0
29192375ab1b,0
54b322c66d01,0
374535e0adb8,4
a73c3d516c59,0
a62e995f167c,0
10a5026eb8e6,0
7a12f49e29df,0
2fb3a8606a77,2
115e42dd6a81,2
b7a1bb106051,0
ab7991df166b,0
4f46d7ee61ed,2
0e0fc1d9810c,4
338326891d84,0
0773a1c326ad,0
5cf9127f251a,2
8dba09a4e5ed,2
ac81fc200162,0
f64b6e85f1c9,0
6630f8675a97,4
080f66eedfb9,4
d39752cb6e57,0
1a1e974a7dbf,0
0125fbd2e791,0
65e120143825,4
a879c3569552,2
4e231670b48c,0
a93f1ea3ff4a,2
08f8838d69bb,0
f8d62557ad0c,0
0cd31078cd08,0
27b68863349f,2
f8fc411092c7,2
cd29c88c9e36,2
4dd9d29eae5d,1
29f44aea93a4,2
a07d571bf7ba,0
2f4e81787d9b,1
172df1330a60,1
c18a006f7f1d,0
fa573163dd8b,0
5712e2aa73a2,1
3823acc4e464,0
4e43d05cc2ef,2
23fca0693e2a,2
5d4e5fd34d91,0
191348830ddf,2
5bea250d8bf5,0
976082127e2a,0
